Content,author,published_date
"En me réveillant et en découvrant que #JeSuisMila , #Kobe et le #coronavirus sont encore en TT pic.twitter.com/GcLAxCBCxD",Siheem &nbsp;🙃,"Sun, 16 Feb 2020 09:57:35 GMT"
🔴⭕ #Chine #Coronavirus Pour quelle raison ces fonctionnaires détruisent la nourriture d'une famille ?💥  pic.twitter.com/nm9pHSQvua,Pablo Neruda &nbsp;🐝&nbsp;🦞,"Sun, 16 Feb 2020 08:47:25 GMT"
"#Chine - Les RS rapportent des centaines de cas filmés de personnes malveillantes qui essaient de diffuser le virus notamment dans les lieux publics, ascenseurs, mobilier urbain et de jet de morve et de glaire directement sur les sacs à main et habits... #coronavirus pic.twitter.com/o4zbhx0s8J",Infos minutes&nbsp;🦠&nbsp;🗞️,"Sun, 16 Feb 2020 14:18:05 GMT"
Quand le coronavirus voit que on a changé encore de nom #Coronavirus  #Coronavirius pic.twitter.com/TpyMZ3JaCJ,SaKuRo &nbsp;🐉,"Sun, 16 Feb 2020 10:54:29 GMT"
"🔴 #Chine #WuhanLongue file d'attente devant les supermarchés, alors quele prix de la nourriture a quadruplé ....#coronavirus pic.twitter.com/sx9o9G5t9L",Pablo Neruda &nbsp;🐝&nbsp;🦞,"Sun, 16 Feb 2020 08:06:49 GMT"
#Chine - Les autorités chinoises  noient les chats et chiens errants de peur qu'ils soient porteurs du #coronavirus. #COVID19 pic.twitter.com/wQIkn4bdWH,Infos minutes&nbsp;🦠&nbsp;🗞️,"Sun, 16 Feb 2020 13:48:55 GMT"
🔴⭕#Chine #Coronavirus Un mort devant cette epiceriePersonne n'intervient et personne n'appelle à l'aide ! ⚡ pic.twitter.com/xeJUeErmTu,Pablo Neruda &nbsp;🐝&nbsp;🦞,"Sun, 16 Feb 2020 13:42:25 GMT"
#coronavirus : 1 669 morts et 69 261 infectés(même la Maison Blanche ne croit pas les les chiffres divulgués par Pékin...) pic.twitter.com/E8jhJKVV2b,Garl de Chaulle,"Sun, 16 Feb 2020 09:05:15 GMT"
Not a bad spot - quite the pool #Singapore pic.twitter.com/Mx4KoafZHs,Dave's Travel Corner,"Mon, 17 Feb 2020 12:06:01 GMT"
"Employers in #Singapore not granting domestic workers human dignity, Exhibit #23423748293749: ""Ms Jaya cited a case where a domestic worker who went out during her rest day was not allowed to stay in her employer's house and her employment was terminated.” https://t.co/psTniO3yOx",Kirsten Han ???,"Tue, 11 Feb 2020 03:41:03 GMT"
"So Sofitel, so #Singapore https://t.co/XFrzKo03W2 #Design hotel pic.twitter.com/DcQPuquSgK",LydiaCLee,"Sat, 08 Feb 2020 08:59:01 GMT"
Wie stark die Auswirkungen des  #coronavirus sind seht ihr hier. Der Flughafen von #Singapore wirkt wie ausgestorben. https://t.co/HxFqlyv3oF,Le Sabot&nbsp;??,"Mon, 10 Feb 2020 12:14:55 GMT"
I like his sense of humour #coronavirus #Singapore pic.twitter.com/UPxeJJvfTz,Toon Seri Anthraxxxx,"Sat, 08 Feb 2020 03:43:32 GMT"
You are more likely to contract the #coronavirus stockpiling groceries in crowded supermarkets than dying of starvation in #singapore. A little water-fasting never hurt anyone.,Aki Ranin,"Sat, 08 Feb 2020 02:12:11 GMT"
Maximum eye power sia!#Singapore #Electionlailiao #GE2020 #Wuhanvirus #Coronavirus pic.twitter.com/kiCkEcDGyX,All Singapore Stuff,"Wed, 12 Feb 2020 07:46:40 GMT"
"I've spent a lot of time in #Singapore & its hospitals, which are FAR superior to 90+% of American health facilities. This small, rich, well-organized, high-tech nation has arguably the best health syst on Earth. So pay heed, don't be smug, watch them battle #covid19 #2019nCoV . https://t.co/bOqUQhHTjV",Laurie Garrett,"Tue, 11 Feb 2020 16:20:39 GMT"
"#Singapore raised their #DORSCON level to orange and everyone went nuts.DORSCON: Don't Over React Singapore Can Or Not?Also why the hell are you guys clearing out the toilet paper shelves? When you panic, you can't keep it in is it? ???????AND it's 2020, use a bidet!",Jeff Sandhu,"Wed, 12 Feb 2020 00:32:05 GMT"
"US have capitalism,China have communism,Singapore have kiasuism. #singapore pic.twitter.com/M0r30JCE3V",Frank Chong,"Sat, 08 Feb 2020 12:06:54 GMT"
Kiasi virus more scary than wuhan virus sia! Summore this one also got no cure!#Singapore #Kiasi #Kiasu #WuhanVirus #Coronavirus pic.twitter.com/K39Iwakdl3,All Singapore Stuff,"Sat, 08 Feb 2020 05:46:43 GMT"
Look at how detailed #Singapore #coronavirus update is. Wow well done. ???? pic.twitter.com/gPlmjULOfg,Unicorn,"Sun, 16 Feb 2020 10:31:32 GMT"
"Ich sags doch. Exit 16/34 bei nasser Piste. Der 380 kann sowas ?? #singapore(OK, ein go-around aber das ist nur zum ausprobieren gewesen ??) pic.twitter.com/BNrwhTHjdn",Phil Storm &nbsp;??&nbsp;??&nbsp;??,"Mon, 10 Feb 2020 07:49:13 GMT"
Schon nach dem ersten paar Stunden lässt sich festhalten: #Singapore ist eine geile Stadt!! Ich freue mich auf die kommenden Tage. Es gibt viel zu sehen und erkunden!,Stefan,"Sun, 16 Feb 2020 11:57:21 GMT"
@ChannelNewsAsia - are you sure there is 1 death in Singapore ??? —#Singapore #coronavairus pic.twitter.com/zJwyg1fXC7,dj kzee,"Thu, 13 Feb 2020 12:30:49 GMT"
?? ?? ?? ?? ??#Singapore Colors... pic.twitter.com/0QxYK35Qdb,&nbsp;?? &nbsp;?? ?????*¢*?a? &nbsp;??&nbsp;??,"Sun, 09 Feb 2020 10:55:49 GMT"
"Singapour #SingaporeZombieApocalypse #Singapore #SingaporeAirlines lou & the hollywood bananas ""les petites rues de singapour"" https://t.co/Laari9GVuj via @YouTube",@antaresdu13,"Sat, 08 Feb 2020 11:54:12 GMT"
DORSCON Alert Level #Singapore pic.twitter.com/NkUfVorPHl,1stylemomsi&nbsp;??,"Sat, 08 Feb 2020 00:42:05 GMT"
"#Singapore raises risk alert, due to #2019nC0V #WuhanCoronvirus pic.twitter.com/FEqbqZPMEZ",Keith Fitzgerald,"Fri, 07 Feb 2020 13:52:28 GMT"
#coronavirus scare - #Singapore Airport on 06th Feb 2020 @SingaporeAir @ChangiAirport   World is coming to Virtual halt due to #Coronavirus pic.twitter.com/u4XjoslbCg,Neeraj Kumar Singal,"Fri, 07 Feb 2020 07:59:25 GMT"
Meanwhile in KL.. #singapore pic.twitter.com/h5vO4PVi0r,Tawfik Daud,"Sat, 08 Feb 2020 09:21:31 GMT"
